,Marka,Model,Year,Color,Engine,Fuel_type,Mileage,Gear_box,New,Price
4701,Jetour,Dashing,2024,Boz,1.6,Benzin,0,Robot,Bəli,29441
4702,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,19175
4704,Hyundai,Santa Fe,2014,Ağ,2.0,Dizel,107000,Avtomat,Xeyr,20768
4705,Kia,Ceed,2011,Boz,1.6,Dizel,237467,Mexaniki,Xeyr,8909
4707,Kia,Sorento,2018,Qara,2.0,Dizel,47500,Avtomat,Xeyr,28615
4708,Changan,Qiyuan A06,2023,Yaş Asfalt,1.5,Plug-in Hibrid,0,Variator,Bəli,19700
4709,Fiat,Tipo,2023,Mavi,1.5,Hibrid,0,Avtomat,Bəli,25075
4710,Jetour,X90 PLUS,2024,Mavi,1.6,Benzin,0,Avtomat,Bəli,32273
4711,Fiat,Ducato,2018,Ağ,2.3,Dizel,0,Mexaniki,Bəli,47200
4712,BYD,Qin L,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,19200
4713,Jetour,X70C-DM,2024,Açıq yaşıl,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
4715,BYD,Destroyer 05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,15930
4716,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,25370
4717,Jetour,T2,2024,Boz,2.0,Benzin,0,Avtomat,Bəli,35046
4720,Hyundai,Elantra,2016,Yaş Asfalt,2.0,Benzin,171000,Avtomat,Xeyr,13983
4721,Fiat,Tipo,2023,Ağ,1.6,Benzin,0,Avtomat,Bəli,19175
4723,Fiat,Tipo,2023,Yaş Asfalt,1.6,Benzin,0,Avtomat,Bəli,20945
4724,Jetour,X70C-DM,2024,Ağ,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
4725,Jetour,Dashing,2024,Boz,1.6,Benzin,0,Robot,Bəli,29441
4726,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,19175
4728,Hyundai,Santa Fe,2014,Ağ,2.0,Dizel,107000,Avtomat,Xeyr,20768
4729,Kia,Ceed,2011,Boz,1.6,Dizel,237467,Mexaniki,Xeyr,8909
4731,Kia,Sorento,2018,Qara,2.0,Dizel,47500,Avtomat,Xeyr,28615
4732,Changan,Qiyuan A06,2023,Yaş Asfalt,1.5,Plug-in Hibrid,0,Variator,Bəli,19700
4733,Fiat,Tipo,2023,Mavi,1.5,Hibrid,0,Avtomat,Bəli,25075
4734,Jetour,X90 PLUS,2024,Mavi,1.6,Benzin,0,Avtomat,Bəli,32273
4735,Fiat,Ducato,2018,Ağ,2.3,Dizel,0,Mexaniki,Bəli,47200
4736,BYD,Qin L,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,19200
4737,Jetour,X70C-DM,2024,Açıq yaşıl,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
4739,BYD,Destroyer 05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,15930
4740,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,25370
4741,Jetour,T2,2024,Boz,2.0,Benzin,0,Avtomat,Bəli,35046
4744,Hyundai,Elantra,2016,Yaş Asfalt,2.0,Benzin,171000,Avtomat,Xeyr,13983
4745,Fiat,Tipo,2023,Ağ,1.6,Benzin,0,Avtomat,Bəli,19175
4747,Fiat,Tipo,2023,Yaş Asfalt,1.6,Benzin,0,Avtomat,Bəli,20945
4748,Jetour,X70C-DM,2024,Ağ,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
4749,Jetour,Dashing,2024,Boz,1.6,Benzin,0,Robot,Bəli,29441
4750,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,19175
4752,Hyundai,Santa Fe,2014,Ağ,2.0,Dizel,107000,Avtomat,Xeyr,20768
4753,Kia,Ceed,2011,Boz,1.6,Dizel,237467,Mexaniki,Xeyr,8909
4755,Kia,Sorento,2018,Qara,2.0,Dizel,47500,Avtomat,Xeyr,28615
4756,Changan,Qiyuan A06,2023,Yaş Asfalt,1.5,Plug-in Hibrid,0,Variator,Bəli,19700
4757,Fiat,Tipo,2023,Mavi,1.5,Hibrid,0,Avtomat,Bəli,25075
4758,Jetour,X90 PLUS,2024,Mavi,1.6,Benzin,0,Avtomat,Bəli,32273
4759,Fiat,Ducato,2018,Ağ,2.3,Dizel,0,Mexaniki,Bəli,47200
4760,BYD,Qin L,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,19200
4761,Jetour,X70C-DM,2024,Açıq yaşıl,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
4763,BYD,Destroyer 05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,15930
4764,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,25370
4765,Jetour,T2,2024,Boz,2.0,Benzin,0,Avtomat,Bəli,35046
4768,Hyundai,Elantra,2016,Yaş Asfalt,2.0,Benzin,171000,Avtomat,Xeyr,13983
4769,Fiat,Tipo,2023,Ağ,1.6,Benzin,0,Avtomat,Bəli,19175
4771,Fiat,Tipo,2023,Yaş Asfalt,1.6,Benzin,0,Avtomat,Bəli,20945
4772,Jetour,X70C-DM,2024,Ağ,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
4773,Jetour,Dashing,2024,Boz,1.6,Benzin,0,Robot,Bəli,29441
4774,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,19175
4776,Hyundai,Santa Fe,2014,Ağ,2.0,Dizel,107000,Avtomat,Xeyr,20768
4777,Kia,Ceed,2011,Boz,1.6,Dizel,237467,Mexaniki,Xeyr,8909
4779,Kia,Sorento,2018,Qara,2.0,Dizel,47500,Avtomat,Xeyr,28615
4780,Changan,Qiyuan A06,2023,Yaş Asfalt,1.5,Plug-in Hibrid,0,Variator,Bəli,19700
4781,Fiat,Tipo,2023,Mavi,1.5,Hibrid,0,Avtomat,Bəli,25075
4782,Jetour,X90 PLUS,2024,Mavi,1.6,Benzin,0,Avtomat,Bəli,32273
4783,Fiat,Ducato,2018,Ağ,2.3,Dizel,0,Mexaniki,Bəli,47200
4784,BYD,Qin L,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,19200
4785,Jetour,X70C-DM,2024,Açıq yaşıl,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
4787,BYD,Destroyer 05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,15930
4788,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,25370
4789,Jetour,T2,2024,Boz,2.0,Benzin,0,Avtomat,Bəli,35046
4792,Hyundai,Elantra,2016,Yaş Asfalt,2.0,Benzin,171000,Avtomat,Xeyr,13983
4793,Fiat,Tipo,2023,Ağ,1.6,Benzin,0,Avtomat,Bəli,19175
4795,Fiat,Tipo,2023,Yaş Asfalt,1.6,Benzin,0,Avtomat,Bəli,20945
4796,Jetour,X70C-DM,2024,Ağ,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
4797,Jetour,Dashing,2024,Boz,1.6,Benzin,0,Robot,Bəli,29441
4798,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,19175
4800,Hyundai,Santa Fe,2014,Ağ,2.0,Dizel,107000,Avtomat,Xeyr,20768
4801,Kia,Ceed,2011,Boz,1.6,Dizel,237467,Mexaniki,Xeyr,8909
4803,Kia,Sorento,2018,Qara,2.0,Dizel,47500,Avtomat,Xeyr,28615
4804,Changan,Qiyuan A06,2023,Yaş Asfalt,1.5,Plug-in Hibrid,0,Variator,Bəli,19700
4805,Fiat,Tipo,2023,Mavi,1.5,Hibrid,0,Avtomat,Bəli,25075
4806,Jetour,X90 PLUS,2024,Mavi,1.6,Benzin,0,Avtomat,Bəli,32273
4807,Fiat,Ducato,2018,Ağ,2.3,Dizel,0,Mexaniki,Bəli,47200
4808,BYD,Qin L,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,19200
4809,Jetour,X70C-DM,2024,Açıq yaşıl,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
4811,BYD,Destroyer 05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,15930
4812,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,25370
4813,Jetour,T2,2024,Boz,2.0,Benzin,0,Avtomat,Bəli,35046
4816,Hyundai,Elantra,2016,Yaş Asfalt,2.0,Benzin,171000,Avtomat,Xeyr,13983
4817,Fiat,Tipo,2023,Ağ,1.6,Benzin,0,Avtomat,Bəli,19175
4819,Fiat,Tipo,2023,Yaş Asfalt,1.6,Benzin,0,Avtomat,Bəli,20945
4820,Jetour,X70C-DM,2024,Ağ,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
4821,Jetour,Dashing,2024,Boz,1.6,Benzin,0,Robot,Bəli,29441
4822,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,19175
4824,Hyundai,Santa Fe,2014,Ağ,2.0,Dizel,107000,Avtomat,Xeyr,20768
4825,Kia,Ceed,2011,Boz,1.6,Dizel,237467,Mexaniki,Xeyr,8909
4827,Kia,Sorento,2018,Qara,2.0,Dizel,47500,Avtomat,Xeyr,28615
4828,Changan,Qiyuan A06,2023,Yaş Asfalt,1.5,Plug-in Hibrid,0,Variator,Bəli,19700
4829,Fiat,Tipo,2023,Mavi,1.5,Hibrid,0,Avtomat,Bəli,25075
4830,Jetour,X90 PLUS,2024,Mavi,1.6,Benzin,0,Avtomat,Bəli,32273
4831,Fiat,Ducato,2018,Ağ,2.3,Dizel,0,Mexaniki,Bəli,47200
4832,BYD,Qin L,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,19200
4833,Jetour,X70C-DM,2024,Açıq yaşıl,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
4835,BYD,Destroyer 05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,15930
4836,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,25370
4837,Jetour,T2,2024,Boz,2.0,Benzin,0,Avtomat,Bəli,35046
4840,Hyundai,Elantra,2016,Yaş Asfalt,2.0,Benzin,171000,Avtomat,Xeyr,13983
4841,Fiat,Tipo,2023,Ağ,1.6,Benzin,0,Avtomat,Bəli,19175
4843,Fiat,Tipo,2023,Yaş Asfalt,1.6,Benzin,0,Avtomat,Bəli,20945
4844,Jetour,X70C-DM,2024,Ağ,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
4845,Jetour,Dashing,2024,Boz,1.6,Benzin,0,Robot,Bəli,29441
4846,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,19175
4849,Hyundai,Santa Fe,2014,Ağ,2.0,Dizel,107000,Avtomat,Xeyr,20768
4850,Kia,Ceed,2011,Boz,1.6,Dizel,237467,Mexaniki,Xeyr,8909
4852,Kia,Sorento,2018,Qara,2.0,Dizel,47500,Avtomat,Xeyr,28615
4853,Changan,Qiyuan A06,2023,Yaş Asfalt,1.5,Plug-in Hibrid,0,Variator,Bəli,19700
4854,Fiat,Tipo,2023,Mavi,1.5,Hibrid,0,Avtomat,Bəli,25075
4855,Jetour,X90 PLUS,2024,Mavi,1.6,Benzin,0,Avtomat,Bəli,32273
4856,Fiat,Ducato,2018,Ağ,2.3,Dizel,0,Mexaniki,Bəli,47200
4857,BYD,Qin L,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,19200
4858,Jetour,X70C-DM,2024,Açıq yaşıl,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
4860,BYD,Destroyer 05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,15930
4861,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,25370
4862,Jetour,T2,2024,Boz,2.0,Benzin,0,Avtomat,Bəli,35046
4865,Hyundai,Elantra,2016,Yaş Asfalt,2.0,Benzin,171000,Avtomat,Xeyr,13983
4866,Fiat,Tipo,2023,Ağ,1.6,Benzin,0,Avtomat,Bəli,19175
4868,Fiat,Tipo,2023,Yaş Asfalt,1.6,Benzin,0,Avtomat,Bəli,20945
4869,Jetour,X70C-DM,2024,Ağ,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
4870,Jetour,Dashing,2024,Boz,1.6,Benzin,0,Robot,Bəli,29441
4871,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,19175
4873,Hyundai,Santa Fe,2014,Ağ,2.0,Dizel,107000,Avtomat,Xeyr,20768
4874,Kia,Ceed,2011,Boz,1.6,Dizel,237467,Mexaniki,Xeyr,8909
4876,Kia,Sorento,2018,Qara,2.0,Dizel,47500,Avtomat,Xeyr,28615
4877,Changan,Qiyuan A06,2023,Yaş Asfalt,1.5,Plug-in Hibrid,0,Variator,Bəli,19700
4878,Fiat,Tipo,2023,Mavi,1.5,Hibrid,0,Avtomat,Bəli,25075
4879,Jetour,X90 PLUS,2024,Mavi,1.6,Benzin,0,Avtomat,Bəli,32273
4880,Fiat,Ducato,2018,Ağ,2.3,Dizel,0,Mexaniki,Bəli,47200
4881,BYD,Qin L,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,19200
4882,Jetour,X70C-DM,2024,Açıq yaşıl,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
4884,BYD,Destroyer 05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,15930
4885,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,25370
4886,Jetour,T2,2024,Boz,2.0,Benzin,0,Avtomat,Bəli,35046
4889,Hyundai,Elantra,2016,Yaş Asfalt,2.0,Benzin,171000,Avtomat,Xeyr,13983
4890,Fiat,Tipo,2023,Ağ,1.6,Benzin,0,Avtomat,Bəli,19175
4892,Fiat,Tipo,2023,Yaş Asfalt,1.6,Benzin,0,Avtomat,Bəli,20945
4893,Jetour,X70C-DM,2024,Ağ,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
4894,Jetour,Dashing,2024,Boz,1.6,Benzin,0,Robot,Bəli,29441
4895,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,19175
4897,Hyundai,Santa Fe,2014,Ağ,2.0,Dizel,107000,Avtomat,Xeyr,20768
4898,Kia,Ceed,2011,Boz,1.6,Dizel,237467,Mexaniki,Xeyr,8909
4900,Kia,Sorento,2018,Qara,2.0,Dizel,47500,Avtomat,Xeyr,28615
4901,Changan,Qiyuan A06,2023,Yaş Asfalt,1.5,Plug-in Hibrid,0,Variator,Bəli,19700
4902,Fiat,Tipo,2023,Mavi,1.5,Hibrid,0,Avtomat,Bəli,25075
4903,Jetour,X90 PLUS,2024,Mavi,1.6,Benzin,0,Avtomat,Bəli,32273
4904,Fiat,Ducato,2018,Ağ,2.3,Dizel,0,Mexaniki,Bəli,47200
4905,BYD,Qin L,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,19200
4906,Jetour,X70C-DM,2024,Açıq yaşıl,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
4908,BYD,Destroyer 05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,15930
4909,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,25370
4910,Jetour,T2,2024,Boz,2.0,Benzin,0,Avtomat,Bəli,35046
4913,Hyundai,Elantra,2016,Yaş Asfalt,2.0,Benzin,171000,Avtomat,Xeyr,13983
4914,Fiat,Tipo,2023,Ağ,1.6,Benzin,0,Avtomat,Bəli,19175
4916,Fiat,Tipo,2023,Yaş Asfalt,1.6,Benzin,0,Avtomat,Bəli,20945
4917,Jetour,X70C-DM,2024,Ağ,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
4918,Jetour,Dashing,2024,Boz,1.6,Benzin,0,Robot,Bəli,29441
4919,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,19175
4921,Hyundai,Santa Fe,2014,Ağ,2.0,Dizel,107000,Avtomat,Xeyr,20768
4922,Kia,Ceed,2011,Boz,1.6,Dizel,237467,Mexaniki,Xeyr,8909
4924,Kia,Sorento,2018,Qara,2.0,Dizel,47500,Avtomat,Xeyr,28615
4925,Changan,Qiyuan A06,2023,Yaş Asfalt,1.5,Plug-in Hibrid,0,Variator,Bəli,19700
4926,Fiat,Tipo,2023,Mavi,1.5,Hibrid,0,Avtomat,Bəli,25075
4927,Jetour,X90 PLUS,2024,Mavi,1.6,Benzin,0,Avtomat,Bəli,32273
4928,Fiat,Ducato,2018,Ağ,2.3,Dizel,0,Mexaniki,Bəli,47200
4929,BYD,Qin L,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,19200
4930,Jetour,X70C-DM,2024,Açıq yaşıl,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
4932,BYD,Destroyer 05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,15930
4933,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,25370
4934,Jetour,T2,2024,Boz,2.0,Benzin,0,Avtomat,Bəli,35046
4937,Hyundai,Elantra,2016,Yaş Asfalt,2.0,Benzin,171000,Avtomat,Xeyr,13983
4938,Fiat,Tipo,2023,Ağ,1.6,Benzin,0,Avtomat,Bəli,19175
4940,Fiat,Tipo,2023,Yaş Asfalt,1.6,Benzin,0,Avtomat,Bəli,20945
4941,Jetour,X70C-DM,2024,Ağ,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
4942,Jetour,Dashing,2024,Boz,1.6,Benzin,0,Robot,Bəli,29441
4943,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,19175
4945,Hyundai,Santa Fe,2014,Ağ,2.0,Dizel,107000,Avtomat,Xeyr,20768
4946,Kia,Ceed,2011,Boz,1.6,Dizel,237467,Mexaniki,Xeyr,8909
4948,Kia,Sorento,2018,Qara,2.0,Dizel,47500,Avtomat,Xeyr,28615
4949,Changan,Qiyuan A06,2023,Yaş Asfalt,1.5,Plug-in Hibrid,0,Variator,Bəli,19700
4950,Fiat,Tipo,2023,Mavi,1.5,Hibrid,0,Avtomat,Bəli,25075
4951,Jetour,X90 PLUS,2024,Mavi,1.6,Benzin,0,Avtomat,Bəli,32273
4952,Fiat,Ducato,2018,Ağ,2.3,Dizel,0,Mexaniki,Bəli,47200
4953,BYD,Qin L,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,19200
4954,Jetour,X70C-DM,2024,Açıq yaşıl,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
4956,BYD,Destroyer 05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,15930
4957,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,25370
4958,Jetour,T2,2024,Boz,2.0,Benzin,0,Avtomat,Bəli,35046
4961,Hyundai,Elantra,2016,Yaş Asfalt,2.0,Benzin,171000,Avtomat,Xeyr,13983
4962,Fiat,Tipo,2023,Ağ,1.6,Benzin,0,Avtomat,Bəli,19175
4964,Fiat,Tipo,2023,Yaş Asfalt,1.6,Benzin,0,Avtomat,Bəli,20945
4965,Jetour,X70C-DM,2024,Ağ,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
4966,Jetour,Dashing,2024,Boz,1.6,Benzin,0,Robot,Bəli,29441
4967,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,19175
4968,BMW,320,2015,Göy,2.0,Benzin,185256,Avtomat,Xeyr,8900
4970,Hyundai,Santa Fe,2014,Ağ,2.0,Dizel,107000,Avtomat,Xeyr,20768
4971,Kia,Ceed,2011,Boz,1.6,Dizel,237467,Mexaniki,Xeyr,8909
4973,Kia,Sorento,2018,Qara,2.0,Dizel,47500,Avtomat,Xeyr,28615
4974,Changan,Qiyuan A06,2023,Yaş Asfalt,1.5,Plug-in Hibrid,0,Variator,Bəli,19700
4975,Fiat,Tipo,2023,Mavi,1.5,Hibrid,0,Avtomat,Bəli,25075
4976,Jetour,X90 PLUS,2024,Mavi,1.6,Benzin,0,Avtomat,Bəli,32273
4977,Fiat,Ducato,2018,Ağ,2.3,Dizel,0,Mexaniki,Bəli,47200
4978,BYD,Qin L,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,19200
4979,Jetour,X70C-DM,2024,Açıq yaşıl,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
4981,BYD,Destroyer 05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,15930
4982,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,25370
4983,Jetour,T2,2024,Boz,2.0,Benzin,0,Avtomat,Bəli,35046
4986,Hyundai,Elantra,2016,Yaş Asfalt,2.0,Benzin,171000,Avtomat,Xeyr,13983
4987,Fiat,Tipo,2023,Ağ,1.6,Benzin,0,Avtomat,Bəli,19175
4989,Fiat,Tipo,2023,Yaş Asfalt,1.6,Benzin,0,Avtomat,Bəli,20945
4990,Jetour,X70C-DM,2024,Ağ,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
4991,Jetour,Dashing,2024,Boz,1.6,Benzin,0,Robot,Bəli,29441
4992,BMW,320,2015,Göy,2.0,Benzin,185256,Avtomat,Xeyr,8900
4994,Hyundai,Santa Fe,2014,Ağ,2.0,Dizel,107000,Avtomat,Xeyr,20768
4995,Kia,Ceed,2011,Boz,1.6,Dizel,237467,Mexaniki,Xeyr,8909
4997,Kia,Sorento,2018,Qara,2.0,Dizel,47500,Avtomat,Xeyr,28615
4998,Changan,Qiyuan A06,2023,Yaş Asfalt,1.5,Plug-in Hibrid,0,Variator,Bəli,19700
4999,Fiat,Tipo,2023,Mavi,1.5,Hibrid,0,Avtomat,Bəli,25075
5000,Jetour,X90 PLUS,2024,Mavi,1.6,Benzin,0,Avtomat,Bəli,32273
5001,Fiat,Ducato,2018,Ağ,2.3,Dizel,0,Mexaniki,Bəli,47200
5002,BYD,Qin L,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,19200
5003,Jetour,X70C-DM,2024,Açıq yaşıl,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
5005,BYD,Destroyer 05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,15930
5006,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,25370
5007,Jetour,T2,2024,Boz,2.0,Benzin,0,Avtomat,Bəli,35046
5010,Hyundai,Elantra,2016,Yaş Asfalt,2.0,Benzin,171000,Avtomat,Xeyr,13983
5011,Fiat,Tipo,2023,Ağ,1.6,Benzin,0,Avtomat,Bəli,19175
5013,Fiat,Tipo,2023,Yaş Asfalt,1.6,Benzin,0,Avtomat,Bəli,20945
5014,Jetour,X70C-DM,2024,Ağ,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
5015,Jetour,Dashing,2024,Boz,1.6,Benzin,0,Robot,Bəli,29441
5019,BMW,320,2015,Göy,2.0,Benzin,185256,Avtomat,Xeyr,8900
5020,Hyundai,Santa Fe,2014,Ağ,2.0,Dizel,107000,Avtomat,Xeyr,20768
5021,Kia,Ceed,2011,Boz,1.6,Dizel,237467,Mexaniki,Xeyr,8909
5023,Kia,Sorento,2018,Qara,2.0,Dizel,47500,Avtomat,Xeyr,28615
5024,Changan,Qiyuan A06,2023,Yaş Asfalt,1.5,Plug-in Hibrid,0,Variator,Bəli,19700
5025,Fiat,Tipo,2023,Mavi,1.5,Hibrid,0,Avtomat,Bəli,25075
5026,Jetour,X90 PLUS,2024,Mavi,1.6,Benzin,0,Avtomat,Bəli,32273
5027,Fiat,Ducato,2018,Ağ,2.3,Dizel,0,Mexaniki,Bəli,47200
5028,BYD,Qin L,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,19200
5029,Jetour,X70C-DM,2024,Açıq yaşıl,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
5031,BYD,Destroyer 05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,15930
5032,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,25370
5033,Jetour,T2,2024,Boz,2.0,Benzin,0,Avtomat,Bəli,35046
5036,Hyundai,Elantra,2016,Yaş Asfalt,2.0,Benzin,171000,Avtomat,Xeyr,13983
5037,Fiat,Tipo,2023,Ağ,1.6,Benzin,0,Avtomat,Bəli,19175
5039,Fiat,Tipo,2023,Yaş Asfalt,1.6,Benzin,0,Avtomat,Bəli,20945
5040,BMW,530e,2021,Ağ,2.0,Plug-in Hibrid,35200,Avtomat,Xeyr,51500
5044,BMW,320,2015,Göy,2.0,Benzin,185256,Avtomat,Xeyr,8900
5045,Hyundai,Santa Fe,2014,Ağ,2.0,Dizel,107000,Avtomat,Xeyr,20768
5046,Kia,Ceed,2011,Boz,1.6,Dizel,237467,Mexaniki,Xeyr,8909
5048,Kia,Sorento,2018,Qara,2.0,Dizel,47500,Avtomat,Xeyr,28615
5049,Changan,Qiyuan A06,2023,Yaş Asfalt,1.5,Plug-in Hibrid,0,Variator,Bəli,19700
5050,Fiat,Tipo,2023,Mavi,1.5,Hibrid,0,Avtomat,Bəli,25075
5051,Jetour,X90 PLUS,2024,Mavi,1.6,Benzin,0,Avtomat,Bəli,32273
5052,Fiat,Ducato,2018,Ağ,2.3,Dizel,0,Mexaniki,Bəli,47200
5053,BYD,Qin L,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,19200
5054,Jetour,X70C-DM,2024,Açıq yaşıl,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
5056,BYD,Destroyer 05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,15930
5057,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,25370
5058,Jetour,T2,2024,Boz,2.0,Benzin,0,Avtomat,Bəli,35046
5061,Hyundai,Elantra,2016,Yaş Asfalt,2.0,Benzin,171000,Avtomat,Xeyr,13983
5062,Fiat,Tipo,2023,Ağ,1.6,Benzin,0,Avtomat,Bəli,19175
5065,BMW,530e,2021,Ağ,2.0,Plug-in Hibrid,35200,Avtomat,Xeyr,51500
5069,BMW,320,2015,Göy,2.0,Benzin,185256,Avtomat,Xeyr,8900
5070,Hyundai,Santa Fe,2014,Ağ,2.0,Dizel,107000,Avtomat,Xeyr,20768
5071,Kia,Ceed,2011,Boz,1.6,Dizel,237467,Mexaniki,Xeyr,8909
5073,Kia,Sorento,2018,Qara,2.0,Dizel,47500,Avtomat,Xeyr,28615
5074,Changan,Qiyuan A06,2023,Yaş Asfalt,1.5,Plug-in Hibrid,0,Variator,Bəli,19700
5075,Fiat,Tipo,2023,Mavi,1.5,Hibrid,0,Avtomat,Bəli,25075
5076,Jetour,X90 PLUS,2024,Mavi,1.6,Benzin,0,Avtomat,Bəli,32273
5077,Fiat,Ducato,2018,Ağ,2.3,Dizel,0,Mexaniki,Bəli,47200
5078,BYD,Qin L,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,19200
5079,Jetour,X70C-DM,2024,Açıq yaşıl,1.5,Plug-in Hibrid,0,Robot,Bəli,27317
5081,BYD,Destroyer 05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,15930
5082,Fiat,Fiorino,2023,Ağ,1.4,Benzin,0,Mexaniki,Bəli,25370
5083,Jetour,T2,2024,Boz,2.0,Benzin,0,Avtomat,Bəli,35046
5086,Hyundai,Elantra,2016,Yaş Asfalt,2.0,Benzin,171000,Avtomat,Xeyr,13983
