,Marka,Model,Year,Color,Engine,Fuel_type,Mileage,Gear_box,New,Price
225,BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
226,Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
229,Land Rover,Range Rover,2015,Ağ,5.0,Benzin,45000,Avtomat,Xeyr,61900
230,Nissan,Note,2015,Tünd qırmızı,1.2,Benzin,27500,Variator,Xeyr,9322
233,Changan,F70 (Hunter),2022,Ağ,1.9,Dizel,81500,Mexaniki,Xeyr,18231
234,Changan,F70 (Hunter),2022,Göy,1.9,Dizel,30000,Mexaniki,Xeyr,21771
237,Changan,F70 (Hunter),2023,Göy,1.9,Dizel,0,Mexaniki,Bəli,25901
238,Changan,Uni-K,2022,Ağ,2.0,Benzin,42000,Avtomat,Xeyr,24131
239,Changan,CS 35 Plus,2023,Ağ,1.4,Benzin,0,Avtomat,Bəli,20001
242,Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
244,BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
247,Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
249,BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
250,Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
253,Land Rover,Range Rover,2015,Ağ,5.0,Benzin,45000,Avtomat,Xeyr,61900
254,Nissan,Note,2015,Tünd qırmızı,1.2,Benzin,27500,Variator,Xeyr,9322
257,Changan,F70 (Hunter),2022,Ağ,1.9,Dizel,81500,Mexaniki,Xeyr,18231
258,Changan,F70 (Hunter),2022,Göy,1.9,Dizel,30000,Mexaniki,Xeyr,21771
261,Changan,F70 (Hunter),2023,Göy,1.9,Dizel,0,Mexaniki,Bəli,25901
262,Changan,Uni-K,2022,Ağ,2.0,Benzin,42000,Avtomat,Xeyr,24131
263,Changan,CS 35 Plus,2023,Ağ,1.4,Benzin,0,Avtomat,Bəli,20001
267,Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
269,BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
272,Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
274,BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
275,Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
278,Land Rover,Range Rover,2015,Ağ,5.0,Benzin,45000,Avtomat,Xeyr,61900
279,Nissan,Note,2015,Tünd qırmızı,1.2,Benzin,27500,Variator,Xeyr,9322
282,Changan,F70 (Hunter),2022,Ağ,1.9,Dizel,81500,Mexaniki,Xeyr,18231
283,Changan,F70 (Hunter),2022,Göy,1.9,Dizel,30000,Mexaniki,Xeyr,21771
286,Changan,F70 (Hunter),2023,Göy,1.9,Dizel,0,Mexaniki,Bəli,25901
287,Changan,Uni-K,2022,Ağ,2.0,Benzin,42000,Avtomat,Xeyr,24131
292,Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
294,BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
297,Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
299,BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
300,Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
303,Land Rover,Range Rover,2015,Ağ,5.0,Benzin,45000,Avtomat,Xeyr,61900
304,Nissan,Note,2015,Tünd qırmızı,1.2,Benzin,27500,Variator,Xeyr,9322
307,Changan,F70 (Hunter),2022,Ağ,1.9,Dizel,81500,Mexaniki,Xeyr,18231
308,Changan,F70 (Hunter),2022,Göy,1.9,Dizel,30000,Mexaniki,Xeyr,21771
311,Changan,F70 (Hunter),2023,Göy,1.9,Dizel,0,Mexaniki,Bəli,25901
316,Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
318,BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
321,Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
323,BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
324,Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
327,Land Rover,Range Rover,2015,Ağ,5.0,Benzin,45000,Avtomat,Xeyr,61900
328,Nissan,Note,2015,Tünd qırmızı,1.2,Benzin,27500,Variator,Xeyr,9322
331,Changan,F70 (Hunter),2022,Ağ,1.9,Dizel,81500,Mexaniki,Xeyr,18231
332,Changan,F70 (Hunter),2022,Göy,1.9,Dizel,30000,Mexaniki,Xeyr,21771
335,Changan,F70 (Hunter),2023,Göy,1.9,Dizel,0,Mexaniki,Bəli,25901
336,Mercedes,E 220 d,2015,Qara,2.2,Dizel,270000,Avtomat,Xeyr,20500
342,Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
344,BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
347,Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
349,BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
350,Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
353,Land Rover,Range Rover,2015,Ağ,5.0,Benzin,45000,Avtomat,Xeyr,61900
354,Nissan,Note,2015,Tünd qırmızı,1.2,Benzin,27500,Variator,Xeyr,9322
357,Changan,F70 (Hunter),2022,Ağ,1.9,Dizel,81500,Mexaniki,Xeyr,18231
358,Changan,F70 (Hunter),2022,Göy,1.9,Dizel,30000,Mexaniki,Xeyr,21771
360,Toyota,Corolla,2024,Ağ,1.8,Hibrid,0,Variator,Bəli,17300
361,Mercedes,ML 270 4MATIC,2004,Qara,2.7,Dizel,436000,Avtomat,Xeyr,8260
363,Nissan,Sunny,2012,Ağ,1.5,Benzin,310000,Avtomat,Xeyr,5900
364,Mercedes,E 220 d,2015,Qara,2.2,Dizel,270000,Avtomat,Xeyr,20500
370,Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
372,BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
375,Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
377,BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
378,Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
381,Land Rover,Range Rover,2015,Ağ,5.0,Benzin,45000,Avtomat,Xeyr,61900
382,Nissan,Note,2015,Tünd qırmızı,1.2,Benzin,27500,Variator,Xeyr,9322
385,Toyota,Corolla,2024,Ağ,1.8,Hibrid,0,Variator,Bəli,17300
386,Mercedes,ML 270 4MATIC,2004,Qara,2.7,Dizel,436000,Avtomat,Xeyr,8260
388,Nissan,Sunny,2012,Ağ,1.5,Benzin,310000,Avtomat,Xeyr,5900
389,Mercedes,E 220 d,2015,Qara,2.2,Dizel,270000,Avtomat,Xeyr,20500
395,Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
397,BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
400,Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
402,BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
403,Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
406,Land Rover,Range Rover,2015,Ağ,5.0,Benzin,45000,Avtomat,Xeyr,61900
407,Nissan,Note,2015,Tünd qırmızı,1.2,Benzin,27500,Variator,Xeyr,9322
412,Toyota,Corolla,2024,Ağ,1.8,Hibrid,0,Variator,Bəli,17300
413,Mercedes,ML 270 4MATIC,2004,Qara,2.7,Dizel,436000,Avtomat,Xeyr,8260
415,Nissan,Sunny,2012,Ağ,1.5,Benzin,310000,Avtomat,Xeyr,5900
416,Mercedes,E 220 d,2015,Qara,2.2,Dizel,270000,Avtomat,Xeyr,20500
422,Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
424,BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
427,Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
429,BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
430,Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
437,Toyota,Corolla,2024,Ağ,1.8,Hibrid,0,Variator,Bəli,17300
438,Mercedes,ML 270 4MATIC,2004,Qara,2.7,Dizel,436000,Avtomat,Xeyr,8260
440,Nissan,Sunny,2012,Ağ,1.5,Benzin,310000,Avtomat,Xeyr,5900
441,Mercedes,E 220 d,2015,Qara,2.2,Dizel,270000,Avtomat,Xeyr,20500
447,Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
449,BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
452,Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
454,BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
455,Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
461,Toyota,Corolla,2024,Ağ,1.8,Hibrid,0,Variator,Bəli,17300
462,Mercedes,ML 270 4MATIC,2004,Qara,2.7,Dizel,436000,Avtomat,Xeyr,8260
464,Nissan,Sunny,2012,Ağ,1.5,Benzin,310000,Avtomat,Xeyr,5900
465,Mercedes,E 220 d,2015,Qara,2.2,Dizel,270000,Avtomat,Xeyr,20500
471,Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
473,BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
476,Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
478,BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
