,Links,Marka,Model,Year,Color,Engine,Fuel_type,Mileage,Gear_box,New,Price
2757,https://turbo.az/autos/9016618-bmw-530,BMW,530,2017,Qara,2.0,Mühərrik2.0 L / 249 a.g. / Benzin,108 000 km,Avtomat,Xeyr,24 500 USD
2758,https://turbo.az/autos/8972185-nissan-navara,Nissan,Navara,2012,Qara,2.5,Mühərrik2.5 L / 190 a.g. / Dizel,256 080 km,Avtomat,Xeyr,35 999 AZN
2759,https://turbo.az/autos/9035866-bmw-320,BMW,320,2016,Yaş Asfalt,2.0,Mühərrik2.0 L / 184 a.g. / Benzin,146 012 km,Avtomat,Xeyr,26 500 AZN
2760,https://turbo.az/autos/9041135-changan-qiyuan-a05,Changan,Qiyuan A05,2024,Ağ,1.5,Mühərrik1.5 L / 190 a.g. / Plug-in Hibrid,0 km,Variator,Bəli,13 990 USD
2761,https://turbo.az/autos/9105673-hyundai-sonata,Hyundai,Sonata,2015,Ağ,2.4,Mühərrik2.4 L / 180 a.g. / Benzin,164 500 km,Avtomat,Xeyr,32 000 AZN
2762,https://turbo.az/autos/8572779-li-auto-l7,Li Auto,L7,2024,Qara,1.5,Mühərrik1.5 L / 449 a.g. / Plug-in Hibrid,0 km,Reduktor,Bəli,56 000 USD
2763,https://turbo.az/autos/8670677-mercedes-glc-300-e-4matic,Mercedes,GLC 300 e 4MATIC,2024,Qara,2.0,Mühərrik2.0 L / 313 a.g. / Plug-in Hibrid,0 km,Avtomat,Bəli,69 529 EUR
2764,https://turbo.az/autos/9016495-leapmotor-c01,Leapmotor,C01,2024,Qara,1.5,Mühərrik1.5 L / 272 a.g. / Plug-in Hibrid,0 km,Reduktor,Bəli,47 900 AZN
2765,https://turbo.az/autos/8808072-chery-tiggo-2-pro-max,Chery,Tiggo 2 Pro Max,2024,Ağ,1.5,Mühərrik1.5 L / 116 a.g. / Benzin,0 km,Avtomat,Bəli,30 900 AZN
2766,https://turbo.az/autos/9038742-nissan-note,Nissan,Note,2019,Ağ,1.2,Mühərrik1.2 L / 80 a.g. / Hibrid,32 500 km,Reduktor,Xeyr,21 200 AZN
2767,https://turbo.az/autos/9094334-kia-sorento,Kia,Sorento,2018,Yaş Asfalt,2.2,Mühərrik2.2 L / 200 a.g. / Dizel,71 000 km,Avtomat,Xeyr,45 900 AZN
2768,https://turbo.az/autos/8928186-toyota-sienta,Toyota,Sienta,2017,Gümüşü,1.5,Mühərrik1.5 L / 74 a.g. / Hibrid,56 850 km,Variator,Xeyr,24 950 AZN
2769,https://turbo.az/autos/9010963-toyota-sienta,Toyota,Sienta,2016,Ağ,1.5,Mühərrik1.5 L / 74 a.g. / Hibrid,44 444 km,Variator,Xeyr,25 500 AZN
2770,https://turbo.az/autos/8858877-ford-f-450,Ford,F-450,2011,Qara,7.0,Mühərrik7.0 L / 400 a.g. / Dizel,8 225 km,Avtomat,Xeyr,125 000 USD
2771,https://turbo.az/autos/9092666-hyundai-ix35,Hyundai,ix35,2013,Qara,2.0,Mühərrik2.0 L / 163 a.g. / Benzin,145 438 km,Avtomat,Xeyr,25 000 AZN
2772,https://turbo.az/autos/8686396-gac-emkoo,GAC,Emkoo,2024,Ağ,1.5,Mühərrik1.5 L / 177 a.g. / Benzin,0 km,Avtomat,Bəli,40 900 AZN
2773,https://turbo.az/autos/9021890-zeekr-001,ZEEKR,001,2023,Göy,0,Mühərrik544 a.g. / Elektro,30 000 km,Reduktor,Xeyr,32 000 USD
2774,https://turbo.az/autos/8871163-hyundai-grandeur,Hyundai,Grandeur,2023,Boz,1.6,Mühərrik1.6 L / 230 a.g. / Hibrid,28 000 km,Avtomat,Xeyr,38 500 USD
2775,https://turbo.az/autos/8736660-gac-empow,GAC,Empow,2024,Qara,1.5,Mühərrik1.5 L / 177 a.g. / Benzin,0 km,Robot,Bəli,37 900 AZN
2776,https://turbo.az/autos/8427490-gac-gs3-emzoom,GAC,GS3 Emzoom,2024,Yaş Asfalt,1.5,Mühərrik1.5 L / 175 a.g. / Benzin,0 km,Avtomat,Bəli,36 900 AZN
2777,https://turbo.az/autos/9100729-avatr-12,Avatr,12,2024,Yaş Asfalt,0,Mühərrik578 a.g. / Elektro,0 km,Reduktor,Bəli,45 000 USD
2778,https://turbo.az/autos/9096244-volkswagen-tayron,Volkswagen,Tayron,2023,Yaş Asfalt,1.4,Mühərrik1.4 L / 150 a.g. / Plug-in Hibrid,0 km,Robot,Bəli,25 900 USD
